CO_REGSAUD;DS_NOME;Ano;Pop_0a14;Pop_15a64;Pop_65emais;RazDep
43002;Região 02 - Entre Rios;2010;24761;84872;14633;46,42
43003;Região 03 - Fronteira Oeste;2010;109129;311073;44836;49,49
43004;Região 04 - Belas Praias;2010;30916;95094;12093;45,23
43005;Região 05 - Bons Ventos;2010;44754;137294;20968;47,87
43006;Região 06 - Vale do Paranhana e Costa S;2010;48809;147909;15829;43,70
43007;Região 07 - Vale dos Sinos;2010;164878;540195;50697;39,91
43008;Região 08 - Vale do Caí e Metropolitana;2010;158983;504129;54802;42,41
43009;Região 09 - Carbonífera/Costa Doce;2010;86434;264926;32815;45,01
43010;Região 10 - Capital e Vale do Gravataí;2010;460389;1562459;202389;42,42
43011;Região 11 - Sete Povos das Missões;2010;59690;196122;30436;45,95
43012;Região 12 - Portal das Missões;2010;32092;104574;15404;45,42
43013;Região 13 - Diversidade;2010;44210;154909;23652;43,81
43014;Região 14 - Fronteira Noroeste;2010;41757;159684;25492;42,11
43015;Região 15 - Caminho das Águas;2010;39125;128182;19756;45,94
43016;Região 16 - Alto Uruguai Gaúcho;2010;44044;161517;25253;42,90
43017;Região 17 - Planalto;2010;78108;270021;34300;41,63
43018;Região 18 - Araucárias;2010;25252;88891;13945;44,10
43019;Região 19 - Botucaraí;2010;25577;78605;11427;47,08
43020;Região 20 - Rota da Produção;2010;35634;109459;16415;47,55
43021;Região 21 - Sul;2010;174933;581851;88351;45,25
43022;Região 22 - Pampa;2010;40585;123600;18394;47,72
43023;Região 23 - Caxias e Hortênsias;2010;108045;385778;39094;38,14
43024;Região 24 - Campos de Cima da Serra;2010;22516;63398;9049;49,79
43025;Região 25 - Vinhedos e Basalto;2010;48276;204098;26914;36,84
43026;Região 26 - Uva Vale;2010;31523;123239;14871;37,65
43027;Região 27 - Jacuí Centro;2010;41570;136214;22480;47,02
43028;Região 28 - Vinte e Oito;2010;64882;229986;32290;42,25
43029;Região 29 - Vales e Montanhas;2010;37691;147982;22290;40,53
43030;Região 30 - Vale da Luz;2010;22848;82769;11832;41,90
50001;Campo Grande;2010;320489;923113;87582;44,21
50002;Corumbá;2010;34817;81005;7498;52,24
50003;Dourados;2010;196893;495718;49336;49,67
50004;Três Lagoas;2010;59514;175077;17982;44,26
51001;Alto Tapajós;2010;25464;68205;5472;45,36
51002;Baixada Cuiabana;2010;219311;643403;48768;41,67
51003;Araguaia Xingu;2010;22688;50443;3446;51,81
51004;Centro Norte;2010;24651;62714;5873;48,67
51005;Garças Araguaia;2010;30736;79724;7747;48,27
51006;Médio Araguaia;2010;22812;55124;3714;48,12
51007;Médio Norte Matogrossense;2010;54746;143013;9081;44,63
51008;Noroeste Matogrossense;2010;38738;90026;5300;48,92
51009;Norte Araguaia Karajá;2010;6255;13979;1232;53,56
51010;Norte Matogrossense;2010;17077;46374;4423;46,36
51011;Oeste Matogrossense;2010;47695;125979;12317;47,64
51012;Sudoeste Matogrossense;2010;30607;72848;5506;49,57
51013;Sul Matogrossense;2010;111251;315671;25597;43,35
51014;Teles Pires;2010;88078;231125;10163;42,51
51015;Vale do Peixoto;2010;25818;65233;4774;46,90
51016;Vale dos Arinos;2010;13708;35425;2788;46,57
52001;Central;2010;350169;1186955;106008;38,43
52002;Centro Sul;2010;192609;533284;39633;43,55
52003;Entorno Norte;2010;64625;152745;10751;49,35
52004;Entorno Sul;2010;217110;485972;24570;49,73
52005;Estrada de Ferro;2010;58282;182922;19242;42,38
52006;Nordeste I;2010;12742;27831;2937;56,34
52007;Nordeste II;2010;26642;61381;5731;52,74
52008;Norte;2010;33345;93400;10221;46,64
52009;Oeste I;2010;23605;79398;10856;43,40
52010;Oeste II;2010;21963;74491;9732;42,55
52011;Pirineus;2010;108518;312711;30501;44,46
52012;Rio Vermelho;2010;43448;133062;15168;44,05
52013;São Patrício I;2010;35933;111640;13713;44,47
52014;Serra da Mesa;2010;29103;81471;8793;46,51
52015;Sudoeste I;2010;87716;267239;24404;41,95
52016;Sudoeste II;2010;46716;136946;13926;44,28
52017;Sul;2010;49998;160061;19323;43,31
52018;São Patrício II;2010;39025;104942;10279;46,98
53001;Distrito Federal;2010;608493;1834021;127646;40,14
;;2010;45932295;130742024;14081480;45,90
