CO_REGSAUD;DS_NOME;Ano;tx_nat
42002;Oeste;2013;14,45
42003;Xanxerê;2013;13,69
42004;Alto Vale do Itajaí;2013;13,42
42005;Foz do Rio Itajaí;2013;14,76
42006;Médio Vale do Itajaí;2013;12,72
42007;Grande Florianópolis;2013;13,29
42008;Meio Oeste;2013;12,87
42009;Alto Vale do Rio do Peixe;2013;15,20
42010;Alto Uruguai Catarinense;2013;11,63
42011;Nordeste;2013;14,37
42012;Planalto Norte;2013;13,80
42013;Serra Catarinense;2013;13,71
42014;Extremo Sul Catarinense;2013;12,57
42015;Carbonífera;2013;13,58
42016;Laguna;2013;12,81
43001;Região 01 - Verdes Campos;2013;11,58
43002;Região 02 - Entre Rios;2013;10,42
43003;Região 03 - Fronteira Oeste;2013;12,79
43004;Região 04 - Belas Praias;2013;13,50
43005;Região 05 - Bons Ventos;2013;12,97
43006;Região 06 - Vale do Paranhana e Costa S;2013;13,22
43007;Região 07 - Vale dos Sinos;2013;13,18
43008;Região 08 - Vale do Caí e Metropolitana;2013;14,41
43009;Região 09 - Carbonífera/Costa Doce;2013;12,23
43010;Região 10 - Capital e Vale do Gravataí;2013;13,87
43011;Região 11 - Sete Povos das Missões;2013;11,52
43012;Região 12 - Portal das Missões;2013;12,42
43013;Região 13 - Diversidade;2013;12,57
43014;Região 14 - Fronteira Noroeste;2013;10,65
43015;Região 15 - Caminho das Águas;2013;11,76
43016;Região 16 - Alto Uruguai Gaúcho;2013;10,64
43017;Região 17 - Planalto;2013;13,04
43018;Região 18 - Araucárias;2013;11,11
43019;Região 19 - Botucaraí;2013;10,88
43020;Região 20 - Rota da Produção;2013;11,83
43021;Região 21 - Sul;2013;11,93
43022;Região 22 - Pampa;2013;12,34
43023;Região 23 - Caxias e Hortênsias;2013;13,75
43024;Região 24 - Campos de Cima da Serra;2013;13,02
43025;Região 25 - Vinhedos e Basalto;2013;11,41
43026;Região 26 - Uva Vale;2013;10,99
43027;Região 27 - Jacuí Centro;2013;10,63
43028;Região 28 - Vinte e Oito;2013;11,19
43029;Região 29 - Vales e Montanhas;2013;11,09
43030;Região 30 - Vale da Luz;2013;12,23
50001;Campo Grande;2013;15,97
50002;Corumbá;2013;18,33
50003;Dourados;2013;17,17
50004;Três Lagoas;2013;15,26
51001;Alto Tapajós;2013;14,04
51002;Baixada Cuiabana;2013;17,52
51003;Araguaia Xingu;2013;13,43
51004;Centro Norte;2013;14,07
51005;Garças Araguaia;2013;16,43
51006;Médio Araguaia;2013;17,24
51007;Médio Norte Matogrossense;2013;16,57
51008;Noroeste Matogrossense;2013;14,42
51009;Norte Araguaia Karajá;2013;10,71
51010;Norte Matogrossense;2013;16,07
51011;Oeste Matogrossense;2013;15,49
51012;Sudoeste Matogrossense;2013;16,67
51013;Sul Matogrossense;2013;16,66
51014;Teles Pires;2013;19,04
51015;Vale do Peixoto;2013;15,49
51016;Vale dos Arinos;2013;15,76
52001;Central;2013;15,36
