CO_REGSAUD;DS_NOME;Ano;tx_mortinf
51007;Médio Norte Matogrossense;2000;23,41
51008;Noroeste Matogrossense;2000;18,12
51009;Norte Araguaia Karajá;2000;9,06
51010;Norte Matogrossense;2000;24,92
51011;Oeste Matogrossense;2000;23,61
51012;Sudoeste Matogrossense;2000;21,15
51013;Sul Matogrossense;2000;22,12
51014;Teles Pires;2000;18,44
51015;Vale do Peixoto;2000;28,07
51016;Vale dos Arinos;2000;17,93
52001;Central;2000;15,52
52002;Centro Sul;2000;15,45
52003;Entorno Norte;2000;17,23
52004;Entorno Sul;2000;15,82
52005;Estrada de Ferro;2000;16,06
52006;Nordeste I;2000;5,89
52007;Nordeste II;2000;15,26
52008;Norte;2000;13,49
52009;Oeste I;2000;15,56
52010;Oeste II;2000;14,48
52011;Pirineus;2000;21,18
52012;Rio Vermelho;2000;18,79
52013;São Patrício I;2000;9,49
52014;Serra da Mesa;2000;15,09
52015;Sudoeste I;2000;17,90
52016;Sudoeste II;2000;9,72
52017;Sul;2000;14,87
52018;São Patrício II;2000;11,07
53001;Distrito Federal;2000;14,40
;Brasil;2000;21,27
