CO_REGSAUD;DS_NOME;Ano;Pop_Total;Pop_Hom;Pop_Mul;p_Pop_Hom;p_Pop_Mul
35081;Três Colinas;2010;386704;190104;196600;49,16;50,84
35082;Alta Anhanguera;2010;146942;73027;73915;49,70;50,30
35083;Alta Mogiana;2010;116161;57466;58695;49,47;50,53
35091;Adamantina;2010;128287;66876;61411;52,13;47,87
35092;Assis;2010;236188;116620;119568;49,38;50,62
35093;Marília;2010;361514;176789;184725;48,90;51,10
35094;Ourinhos;2010;217871;106987;110884;49,11;50,89
35095;Tupã;2010;124548;61347;63201;49,26;50,74
35101;Araras;2010;309911;153752;156159;49,61;50,39
35102;Limeira;2010;332852;164507;168345;49,42;50,58
35103;Piracicaba;2010;532227;262336;269891;49,29;50,71
35104;Rio Claro;2010;237594;118082;119512;49,70;50,30
35111;Alta Paulista;2010;125690;64379;61311;51,22;48,78
35112;Alta Sorocabana;2010;380077;186016;194061;48,94;51,06
35113;Alto Capivari;2010;56088;27780;28308;49,53;50,47
35114;Extremo Oeste Paulista;2010;92616;46581;46035;50,29;49,71
35115;Pontal do Paranapanema;2010;67721;33940;33781;50,12;49,88
35121;Vale do Ribeira;2010;273566;137452;136114;50,24;49,76
35131;Horizonte Verde;2010;393431;196868;196563;50,04;49,96
35132;Aquífero Guarani;2010;807106;392434;414672;48,62;51,38
35133;Vale das Cachoeiras;2010;127452;63289;64163;49,66;50,34
35141;Baixa Mogiana;2010;302331;149715;152616;49,52;50,48
35142;Mantiqueira;2010;262825;129945;132880;49,44;50,56
35143;Rio Pardo;2010;208625;104880;103745;50,27;49,73
35151;Catanduva;2010;291575;145637;145938;49,95;50,05
35152;Santa Fé do Sul;2010;44269;21630;22639;48,86;51,14
35153;Jales;2010;100705;50146;50559;49,79;50,21
35154;Fernandópolis;2010;110626;54477;56149;49,24;50,76
35155;São José do Rio Preto;2010;649787;316671;333116;48,73;51,27
35156;José Bonifácio;2010;91718;46164;45554;50,33;49,67
35157;Votuporanga;2010;184091;92112;91979;50,04;49,96
35161;Itapetininga;2010;451399;227492;223907;50,40;49,60
35162;Itapeva;2010;272676;136397;136279;50,02;49,98
35163;Sorocaba;2010;1518941;753471;765470;49,61;50,39
35171;Alto Vale do Paraíba;2010;975338;478865;496473;49,10;50,90
35172;Circuito da Fé e Vale Histórico;2010;450280;221173;229107;49,12;50,88
35173;Litoral Norte;2010;281779;140350;141429;49,81;50,19
35174;Vale do Paraíba/Região Serrana;2010;557197;275936;281261;49,52;50,48
