CO_REGSAUD;DS_NOME;Ano;TxCres_1020
35102;Limeira;2020;1,24
35103;Piracicaba;2020;1,17
35104;Rio Claro;2020;1,24
35111;Alta Paulista;2020;0,83
35112;Alta Sorocabana;2020;0,89
35113;Alto Capivari;2020;0,66
35114;Extremo Oeste Paulista;2020;0,73
35115;Pontal do Paranapanema;2020;0,03
35121;Vale do Ribeira;2020;0,45
35131;Horizonte Verde;2020;1,32
35132;Aquífero Guarani;2020;1,50
35133;Vale das Cachoeiras;2020;1,08
35141;Baixa Mogiana;2020;0,95
35142;Mantiqueira;2020;0,90
35143;Rio Pardo;2020;0,46
35151;Catanduva;2020;0,99
35152;Santa Fé do Sul;2020;0,81
35153;Jales;2020;0,37
35154;Fernandópolis;2020;0,64
35155;São José do Rio Preto;2020;1,24
35156;José Bonifácio;2020;1,44
35157;Votuporanga;2020;0,95
35161;Itapetininga;2020;1,26
35162;Itapeva;2020;0,39
35163;Sorocaba;2020;1,40
35171;Alto Vale do Paraíba;2020;1,27
35172;Circuito da Fé e Vale Histórico;2020;0,82
35173;Litoral Norte;2020;1,79
35174;Vale do Paraíba/Região Serrana;2020;1,20
41001;1ª RS Paranaguá;2020;1,19
41002;2ª RS Metropolitana;2020;1,30
41003;3ª RS Ponta Grossa;2020;1,10
41004;4ª RS Irati;2020;0,94
41005;5ª RS Guarapuava;2020;0,53
41006;6ª RS União da Vitória;2020;0,82
41007;7ª RS Pato Branco;2020;0,81
41008;8ª RS Francisco Beltrão;2020;0,73
41009;9ª RS Foz do Iguaçu;2020;0,57
41010;10ª RS Cascavel;2020;0,93
41011;11ª RS Campo Mourão;2020;0,11
41012;12ª RS Umuarama;2020;0,59
41013;13ª RS Cianorte;2020;1,25
41014;14ª RS Paranavaí;2020;0,72
41015;15ª RS Maringá;2020;1,37
41016;16ª RS Apucarana;2020;1,10
41017;17ª RS Londrina;2020;1,09
41018;18ª RS Cornélio Procópio;2020;0,12
41019;19ª RS Jacarezinho;2020;0,56
41020;20ª RS Toledo;2020;1,12
41021;21ª RS Telêmaco Borba;2020;0,96
41022;22ª RS Ivaiporã;2020;-0,40
42001;Extremo Oeste;2020;0,46
42002;Oeste;2020;1,36
42003;Xanxerê;2020;0,70
42004;Alto Vale do Itajaí;2020;1,12
42005;Foz do Rio Itajaí;2020;2,79
42006;Médio Vale do Itajaí;2020;1,95
42007;Grande Florianópolis;2020;1,97
42008;Meio Oeste;2020;0,77
42009;Alto Vale do Rio do Peixe;2020;0,82
42010;Alto Uruguai Catarinense;2020;0,45
42011;Nordeste;2020;2,00
42012;Planalto Norte;2020;0,77
42013;Serra Catarinense;2020;0,11
42014;Extremo Sul Catarinense;2020;1,26
42015;Carbonífera;2020;1,28
42016;Laguna;2020;1,07
43001;Região 01 - Verdes Campos;2020;0,56
43002;Região 02 - Entre Rios;2020;0,22
43003;Região 03 - Fronteira Oeste;2020;0,19
43004;Região 04 - Belas Praias;2020;1,22
43005;Região 05 - Bons Ventos;2020;1,22
43006;Região 06 - Vale do Paranhana e Costa S;2020;0,89
43007;Região 07 - Vale dos Sinos;2020;0,85
43008;Região 08 - Vale do Caí e Metropolitana;2020;0,78
43009;Região 09 - Carbonífera/Costa Doce;2020;0,72
43010;Região 10 - Capital e Vale do Gravataí;2020;0,66
43011;Região 11 - Sete Povos das Missões;2020;0,14
43012;Região 12 - Portal das Missões;2020;0,27
43013;Região 13 - Diversidade;2020;0,45
43014;Região 14 - Fronteira Noroeste;2020;0,20
43015;Região 15 - Caminho das Águas;2020;0,14
43016;Região 16 - Alto Uruguai Gaúcho;2020;0,34
43017;Região 17 - Planalto;2020;0,80
43018;Região 18 - Araucárias;2020;0,52
43019;Região 19 - Botucaraí;2020;0,37
43020;Região 20 - Rota da Produção;2020;0,34
43021;Região 21 - Sul;2020;0,52
43022;Região 22 - Pampa;2020;0,47
43023;Região 23 - Caxias e Hortênsias;2020;1,23
43024;Região 24 - Campos de Cima da Serra;2020;0,58
43025;Região 25 - Vinhedos e Basalto;2020;1,07
43026;Região 26 - Uva Vale;2020;0,95
43027;Região 27 - Jacuí Centro;2020;0,36
43028;Região 28 - Vinte e Oito;2020;0,72
43029;Região 29 - Vales e Montanhas;2020;0,79
43030;Região 30 - Vale da Luz;2020;0,91
50001;Campo Grande;2020;1,41
50002;Corumbá;2020;0,93
50003;Dourados;2020;1,33
50004;Três Lagoas;2020;1,31
51001;Alto Tapajós;2020;0,66
51002;Baixada Cuiabana;2020;0,88
51003;Araguaia Xingu;2020;1,69
51004;Centro Norte;2020;0,65
51005;Garças Araguaia;2020;0,45
51006;Médio Araguaia;2020;1,93
51007;Médio Norte Matogrossense;2020;1,86
51008;Noroeste Matogrossense;2020;2,21
51009;Norte Araguaia Karajá;2020;1,43
51010;Norte Matogrossense;2020;-0,20
51011;Oeste Matogrossense;2020;0,41
51012;Sudoeste Matogrossense;2020;0,74
51013;Sul Matogrossense;2020;1,53
51014;Teles Pires;2020;2,94
51015;Vale do Peixoto;2020;0,88
51016;Vale dos Arinos;2020;0,09
52001;Central;2020;1,53
52002;Centro Sul;2020;2,03
52003;Entorno Norte;2020;1,66
52004;Entorno Sul;2020;2,17
52005;Estrada de Ferro;2020;1,84
52006;Nordeste I;2020;0,80
52007;Nordeste II;2020;1,20
52008;Norte;2020;0,23
52009;Oeste I;2020;0,26
52010;Oeste II;2020;0,99
