CO_REGSAUD;DS_NOME;Ano;Pop
43030;Região 30 - Vale da Luz;2010;117449
50001;Campo Grande;2010;1331184
50002;Corumbá;2010;123320
50003;Dourados;2010;741947
50004;Três Lagoas;2010;252573
51001;Alto Tapajós;2010;99141
51002;Baixada Cuiabana;2010;911482
51003;Araguaia Xingu;2010;76577
51004;Centro Norte;2010;93238
51005;Garças Araguaia;2010;118207
51006;Médio Araguaia;2010;81650
51007;Médio Norte Matogrossense;2010;206840
51008;Noroeste Matogrossense;2010;134064
51009;Norte Araguaia Karajá;2010;21466
51010;Norte Matogrossense;2010;67874
51011;Oeste Matogrossense;2010;185991
51012;Sudoeste Matogrossense;2010;108961
51013;Sul Matogrossense;2010;452519
51014;Teles Pires;2010;329366
51015;Vale do Peixoto;2010;95825
51016;Vale dos Arinos;2010;51921
52001;Central;2010;1643132
52002;Centro Sul;2010;765526
52003;Entorno Norte;2010;228121
52004;Entorno Sul;2010;727652
52005;Estrada de Ferro;2010;260446
52006;Nordeste I;2010;43510
52007;Nordeste II;2010;93754
52008;Norte;2010;136966
52009;Oeste I;2010;113859
52010;Oeste II;2010;106186
52011;Pirineus;2010;451730
52012;Rio Vermelho;2010;191678
52013;São Patrício I;2010;161286
52014;Serra da Mesa;2010;119367
52015;Sudoeste I;2010;379359
52016;Sudoeste II;2010;197588
52017;Sul;2010;229382
52018;São Patrício II;2010;154246
53001;Distrito Federal;2010;2570160
55;Brasil;2010;190755799
