CO_REGSAUD;DS_NOME;Ano;Pop_0a5;Pop_6a9;Pop_10a14;Pop_15a64;Pop_65emais;Pop_Total;PopH_0a5;PopH_6a9;PopH_10a14;PopH_15a64;PopH_65emais;PopH_Total;PopM_0a5;PopM_6a9;PopM_10a14;PopM_15a64;PopM_65emais;PopM_Total;p_Pop_0a5;p_Pop_6a9;p_Pop_10a14;p_Pop_15a64;p_Pop_65emais;p_PopH_0a5;p_PopH_6a9;p_PopH_10a14;p_PopH_15a64;p_PopH_65emais;p_PopM_0a5;p_PopM_6a9;p_PopM_10a14;p_PopM_15a64;p_PopM_65emais
21010;Pedreiras;2010;24364;17046;23005;132571;15205;212191;12307;8633;11677;65271;7188;105076;12057;8413;11328;67300;8017;107115;11,48;8,03;10,84;62,48;7,17;11,71;8,22;11,11;62,12;6,84;11,26;7,85;10,58;62,83;7,48
21011;Pinheiro;2010;45357;32874;42331;227823;25378;373763;23224;16920;21724;115025;12641;189534;22133;15954;20607;112798;12737;184229;12,14;8,80;11,33;60,95;6,79;12,25;8,93;11,46;60,69;6,67;12,01;8,66;11,19;61,23;6,91
21012;Presidente Dutra;2010;32171;22779;31037;172091;19609;277687;16424;11593;15712;85578;9600;138907;15747;11186;15325;86513;10009;138780;11,59;8,20;11,18;61,97;7,06;11,82;8,35;11,31;61,61;6,91;11,35;8,06;11,04;62,34;7,21
21013;Rosário;2010;36449;25511;33331;159191;15600;270082;18551;13264;17032;81755;7905;138507;17898;12247;16299;77436;7695;131575;13,50;9,45;12,34;58,94;5,78;13,39;9,58;12,30;59,03;5,71;13,60;9,31;12,39;58,85;5,85
21014;Santa Inês;2010;48806;34433;44941;221453;23119;372752;24866;17707;22865;109733;11563;186734;23940;16726;22076;111720;11556;186018;13,09;9,24;12,06;59,41;6,20;13,32;9,48;12,24;58,76;6,19;12,87;8,99;11,87;60,06;6,21
21015;São João dos Patos;2010;26729;19003;26503;143573;16735;232543;13462;9633;13252;72115;7984;116446;13267;9370;13251;71458;8751;116097;11,49;8,17;11,40;61,74;7,20;11,56;8,27;11,38;61,93;6,86;11,43;8,07;11,41;61,55;7,54
21016;São Luís;2010;123781;84154;120339;936453;66454;1331181;62505;42928;60262;435793;27479;628967;61276;41226;60077;500660;38975;702214;9,30;6,32;9,04;70,35;4,99;9,94;6,83;9,58;69,29;4,37;8,73;5,87;8,56;71,30;5,55
21017;Timon;2010;26460;19280;25520;147103;14844;233207;13513;9819;13033;71637;6818;114820;12947;9461;12487;75466;8026;118387;11,35;8,27;10,94;63,08;6,37;11,77;8,55;11,35;62,39;5,94;10,94;7,99;10,55;63,75;6,78
21018;Viana;2010;30120;21249;28677;156113;17177;253336;15227;10927;14798;78412;8245;127609;14893;10322;13879;77701;8932;125727;11,89;8,39;11,32;61,62;6,78;11,93;8,56;11,60;61,45;6,46;11,85;8,21;11,04;61,80;7,10
21019;Zé Doca;2010;35784;25258;33813;167567;14740;277162;18277;12681;17182;85358;7720;141218;17507;12577;16631;82209;7020;135944;12,91;9,11;12,20;60,46;5,32;12,94;8,98;12,17;60,44;5,47;12,88;9,25;12,23;60,47;5,16
