CO_REGSAUD;DS_NOME;Ano;Pop_0a14;Pop_65emais;IndEnv
41010;10ª RS Cascavel;2010;118044;35936;30,44
41011;11ª RS Campo Mourão;2010;74014;30386;41,05
41012;12ª RS Umuarama;2010;55224;26600;48,17
41013;13ª RS Cianorte;2010;30558;12083;39,54
41014;14ª RS Paranavaí;2010;57490;24368;42,39
41015;15ª RS Maringá;2010;147809;60867;41,18
41016;16ª RS Apucarana;2010;74557;30586;41,02
41017;17ª RS Londrina;2010;184878;76038;41,13
41018;18ª RS Cornélio Procópio;2010;48939;22669;46,32
41019;19ª RS Jacarezinho;2010;63059;25667;40,70
41020;20ª RS Toledo;2010;76927;30460;39,60
41021;21ª RS Telêmaco Borba;2010;46537;12404;26,65
41022;22ª RS Ivaiporã;2010;32225;13687;42,47
42001;Extremo Oeste;2010;47184;20149;42,70
42002;Oeste;2010;69222;22108;31,94
42003;Xanxerê;2010;45614;14022;30,74
42004;Alto Vale do Itajaí;2010;60484;21282;35,19
42005;Foz do Rio Itajaí;2010;124692;34420;27,60
42006;Médio Vale do Itajaí;2010;134692;43431;32,24
42007;Grande Florianópolis;2010;202515;68351;33,75
42008;Meio Oeste;2010;40548;14481;35,71
42009;Alto Vale do Rio do Peixe;2010;69215;18462;26,67
42010;Alto Uruguai Catarinense;2010;28886;12441;43,07
42011;Nordeste;2010;192097;51195;26,65
42012;Planalto Norte;2010;86588;24294;28,06
42013;Serra Catarinense;2010;67643;22690;33,54
42014;Extremo Sul Catarinense;2010;40518;13893;34,29
42015;Carbonífera;2010;83122;24657;29,66
42016;Laguna;2010;69293;27567;39,78
43001;Região 01 - Verdes Campos;2010;82093;43906;53,48
43002;Região 02 - Entre Rios;2010;24761;14633;59,10
43003;Região 03 - Fronteira Oeste;2010;109129;44836;41,09
43004;Região 04 - Belas Praias;2010;30916;12093;39,12
43005;Região 05 - Bons Ventos;2010;44754;20968;46,85
43006;Região 06 - Vale do Paranhana e Costa S;2010;48809;15829;32,43
43007;Região 07 - Vale dos Sinos;2010;164878;50697;30,75
43008;Região 08 - Vale do Caí e Metropolitana;2010;158983;54802;34,47
43009;Região 09 - Carbonífera/Costa Doce;2010;86434;32815;37,97
43010;Região 10 - Capital e Vale do Gravataí;2010;460389;202389;43,96
43011;Região 11 - Sete Povos das Missões;2010;59690;30436;50,99
43012;Região 12 - Portal das Missões;2010;32092;15404;48,00
43013;Região 13 - Diversidade;2010;44210;23652;53,50
43014;Região 14 - Fronteira Noroeste;2010;41757;25492;61,05
43015;Região 15 - Caminho das Águas;2010;39125;19756;50,49
43016;Região 16 - Alto Uruguai Gaúcho;2010;44044;25253;57,34
43017;Região 17 - Planalto;2010;78108;34300;43,91
43018;Região 18 - Araucárias;2010;25252;13945;55,22
43019;Região 19 - Botucaraí;2010;25577;11427;44,68
43020;Região 20 - Rota da Produção;2010;35634;16415;46,07
43021;Região 21 - Sul;2010;174933;88351;50,51
43022;Região 22 - Pampa;2010;40585;18394;45,32
43023;Região 23 - Caxias e Hortênsias;2010;108045;39094;36,18
43024;Região 24 - Campos de Cima da Serra;2010;22516;9049;40,19
43025;Região 25 - Vinhedos e Basalto;2010;48276;26914;55,75
43026;Região 26 - Uva Vale;2010;31523;14871;47,18
43027;Região 27 - Jacuí Centro;2010;41570;22480;54,08
43028;Região 28 - Vinte e Oito;2010;64882;32290;49,77
43029;Região 29 - Vales e Montanhas;2010;37691;22290;59,14
43030;Região 30 - Vale da Luz;2010;22848;11832;51,79
50001;Campo Grande;2010;320489;87582;27,33
50002;Corumbá;2010;34817;7498;21,54
50003;Dourados;2010;196893;49336;25,06
50004;Três Lagoas;2010;59514;17982;30,21
51001;Alto Tapajós;2010;25464;5472;21,49
51002;Baixada Cuiabana;2010;219311;48768;22,24
51003;Araguaia Xingu;2010;22688;3446;15,19
51004;Centro Norte;2010;24651;5873;23,82
51005;Garças Araguaia;2010;30736;7747;25,20
51006;Médio Araguaia;2010;22812;3714;16,28
51007;Médio Norte Matogrossense;2010;54746;9081;16,59
51008;Noroeste Matogrossense;2010;38738;5300;13,68
51009;Norte Araguaia Karajá;2010;6255;1232;19,70
51010;Norte Matogrossense;2010;17077;4423;25,90
51011;Oeste Matogrossense;2010;47695;12317;25,82
51012;Sudoeste Matogrossense;2010;30607;5506;17,99
51013;Sul Matogrossense;2010;111251;25597;23,01
51014;Teles Pires;2010;88078;10163;11,54
51015;Vale do Peixoto;2010;25818;4774;18,49
51016;Vale dos Arinos;2010;13708;2788;20,34
52001;Central;2010;350169;106008;30,27
52002;Centro Sul;2010;192609;39633;20,58
52003;Entorno Norte;2010;64625;10751;16,64
52004;Entorno Sul;2010;217110;24570;11,32
52005;Estrada de Ferro;2010;58282;19242;33,02
52006;Nordeste I;2010;12742;2937;23,05
52007;Nordeste II;2010;26642;5731;21,51
52008;Norte;2010;33345;10221;30,65
52009;Oeste I;2010;23605;10856;45,99
52010;Oeste II;2010;21963;9732;44,31
52011;Pirineus;2010;108518;30501;28,11
52012;Rio Vermelho;2010;43448;15168;34,91
52013;São Patrício I;2010;35933;13713;38,16
52014;Serra da Mesa;2010;29103;8793;30,21
52015;Sudoeste I;2010;87716;24404;27,82
52016;Sudoeste II;2010;46716;13926;29,81
52017;Sul;2010;49998;19323;38,65
52018;São Patrício II;2010;39025;10279;26,34
53001;Distrito Federal;2010;608493;127646;20,98
55;Brasil;2010;45932295;14081480;30,66
